,id,author,abstract,booktitle,title,year,keywords,doi,ISSN,month,start,end,no_of_pages
0,8862251,"A Kumar, S Panda","This paper lights on Python amongst other different programming paradigms used in the IT World, which enhances development speed. Although, Python was conceptualized in the late 1980s and after its implementation in 1989, it has emerged as a new multi-paradigm language platform with advent of Big Data. Python includes various data structures, standard libraries with the implementation of sentiment analysis and data science code. The real aim is to provide awareness to all the programmers about various facts of python language. It tells how Python works with various commercial and social communities and provides complete and desirable results. There are many areas and applications where Python makes its own stand as compared to other programming languages.","2019 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COMITCon)",A Survey: How Python Pitches in IT-World,2019,Python;multiparadigm language platform;Big Data;data structures;sentiment analysis;data science code;programming paradigms;IT world;Python language;Python;Libraries;Sentiment analysis;Data structures;Machine learning;Programming;Python data structures;Python Applications;Python standard libraries.,10.1109/COMITCon.2019.8862251,,Feb,248.0,251.0,4.0
1,8462463,"D Can, V Martinez, P Papadopoulos, S Narayanan","We present PyKaldi, a free and open-source Python wrapper for the widely-used Kaldi speech recognition toolkit. PyKaldi is more than a collection of Python bindings into Kaldi libraries. It is an extensible scripting layer that allows users to work with Kaldi and OpenFst types interactively in Python. It tightly integrates Kaldi vector and matrix types with NumPy arrays. We believe Py Kaldi will significantly improve the user experience and simplify the integration of Kaldi into Python workflows. PyKaldi comes with extensive documentation and tests. It is released under the Apache License v2.0 with support for both Python 2.7 and 3.5+.","2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",Pykaldi: A Python Wrapper for Kaldi,2018,authoring languages;public domain software;Python;speech recognition;extensible scripting layer;matrix types;Python workflows;Python 2;free source Python wrapper;open-source Python wrapper;Kaldi speech recognition toolkit;Kaldi libraries;Pykaldi;OpenFst types;Kaldi vector;NumPy arrays;Apache License v2.0;Python;C++ languages;Feature extraction;Libraries;Documentation;Mel frequency cepstral coefficient;Speech recognition;Speech Recognition;Kaldi;OpenFst;Python,10.1109/ICASSP.2018.8462463,2379-190X,April,5889.0,5893.0,5.0
2,8952190,L Yu,"In recent years, the extensive application of the Python language has made its analysis work more and more valuable. Many static analysis algorithms need to rely on the construction of call graphs. In this paper, we did a comparative empirical analysis of several widely used Python static call graph tools both quantitatively and qualitatively. Experiments show that the existing Python static call graph tools have a large difference in the construction effectiveness, and there is still room for improvement.",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),Empirical Study of Python Call Graph,2019,"graph theory;program diagnostics;Python;software quality;user interfaces;comparative empirical analysis;construction effectiveness;extensive application;Python language;analysis work;static analysis algorithms;Python static call graph tools;Tools;Python;Software algorithms;Measurement;Conferences;Software engineering;Manuals;Python, call graph, empirical study, quantitative, qualitative",10.1109/ASE.2019.00160,2643-1572,Nov,1274.0,1276.0,3.0
3,8506789,"F Liu, Z Yang","A kind of automatic operation and maintenance system established on the basis of facing to objective programming language Python is proposed by analyzing the requirements during the operation and maintenance of VMware vSphere. It can complete VMware vSphere automatic operation and maintenance work correctly by utilizing high-efficient, smart, simple and so on feature of Python language, combining with powerful function provided by extension modules such as pysphere, pyVmomi and MySQLdb, and with API support provided by VMware. The result indicates that this system has high-efficiency, universality and expansibility. Because of its simple code, clear layer and short period, it also has wide application prospect by using VMware vSphere automatic operation and maintenance system developed by Python.",2018 International Conference on Advanced Mechatronic Systems (ICAMechS),Design of VMware vSphere Automatic Operation and Maintenance System Based on Python,2018,application program interfaces;cloud computing;object-oriented languages;Python;software maintenance;virtual machines;objective programming language Python;VMware vSphere automatic operation;maintenance work;Python language;maintenance system;Virtual machining;Maintenance engineering;Cloud computing;Python;Virtualization;Servers;Data centers;Python;pyshpere;VMware vSphere;automatic operation and maintenance,10.1109/ICAMechS.2018.8506789,2325-0690,Aug,283.0,286.0,4.0
4,8845524,"X Liu, H Xu","To meet the needs of enterprises for data analysis talents, school-enterprise cooperative course Python Data Analysis introduces the basic theories and methods for data analysis by using Python programming language. The teaching content is organized around practical cases designed according to the actual demand of the enterprise. Exploratory teaching method is conducted to cultivate the communication, collaboration, critical thinking and creativity ability of students. Students fully participate in the teaching process by discussing, analyzing and programming the cases. The implementation scheme, organization of exploratory teaching and the design of teaching cases are introduced in this paper.",2019 14th International Conference on Computer Science Education (ICCSE),School-Enterprise Cooperation on Python Data Analysis Teaching,2019,computer aided instruction;computer science education;data analysis;educational courses;educational institutions;Python;teaching;Python programming language;critical thinking;creativity ability;teaching process;school-enterprise cooperative course Python data analysis teaching;Education;Python;Data analysis;Libraries;Programming profession;Data visualization;School-enterprise cooperation;Python;data analysis;exploratory teaching,10.1109/ICCSE.2019.8845524,2473-9464,Aug,278.0,281.0,4.0
5,8866961,"Y Hwang, D Choi, H An, S Shin, C Lee","This paper reports on the results of a developing Python-MATLAB interface program to implement optical wireless communication system simulation. We implement Python interface for entering input values and simulation environment variables for MATLAB. We operate MATLAB to numerical computing process about communication system simulation to generate a signal, to approximate channel characteristics and to recover the signal. Python passes input data and environment variables to MATLAB and displays output data and graphs from the simulation after MATLAB numerical computing.",2019 International Conference on Green and Human Information Technology (ICGHIT),Development of Python-MATLAB Interface Program for Optical Communication System Simulation,2019,free-space optical communication;Matlab;Python;telecommunication computing;optical wireless communication system simulation;simulation environment variables;numerical computing process;MATLAB numerical computing;Python-MATLAB interface program;Matlab;Optical filters;Python;Optical fiber communication;Wireless communication;Numerical models;Optical fibers;Simulation;optical communication;MATLAB;Python,10.1109/ICGHIT.2019.00018,,Jan,46.0,48.0,3.0
6,9075799,"S Zhou, Z He, N Xiong, X Liu","With the development of information technology and the industry information literacy is a must-have skill for everyone. At present, most colleges and universities choose Python as a carrier to carry out programming teaching for non-computer majors. Firstly, we analyzed the current status of Python programming teaching in universities. Secondly, considering the different needs of different majors for course learning, we re-extracted course content, design and build a SPOC teaching platform for course [1]. Lastly, we design a mixed teaching method, combining classroom teaching with online teaching [2]. Our experiment demonstrates that the proposed mixed teaching method can greatly improve students' learning efficiency.",2019 2nd International Conference on Information Systems and Computer Aided Education (ICISCAE),Research and Application of Mixed Teaching Method of Python Programming Based on SPOC,2019,computer aided instruction;computer science education;educational courses;educational institutions;Python;teaching;SPOC teaching platform;mixed teaching method;classroom teaching;online teaching;information technology;industry information literacy;universities;noncomputer majors;Python programming teaching;course learning;students learning efficiency;small private online course;Education;Python;Programming profession;Videos;Correlation;Libraries;Information literacy;Python programming;SPOC;mixed teaching method,10.1109/ICISCAE48440.2019.221615,,Sep.,189.0,193.0,5.0
7,9066334,"T Naumovic, M DespotovicZrakic, B Radenkovic, L Zivojinovic, I Jezdovic","This paper portrays the development of an simulation engine in Python programming language with focus on the continuous system simulation. Features of the engine are based on CSMP block-oriented language and software for continuous system simulation. The aim of the paper is threefold. Firstly, the paper describes the need and usage of such engine. Second goal is to analyze Python concepts used for the implementation of the simulation engine - API development, communication with smart systems, real-time data processing, integration of differential equations, threading and parallel programming. And last, this paper will depict the engine architecture, use cases and usage of the analyzed concepts in the development process. In the conclusion, we will discuss the overall outcome and the course of the future improvements and upgrades of the engine.",2020 19th International Symposium INFOTEH-JAHORINA (INFOTEH),Development of a Continuous System Simulation Engine in Python Programing Language,2020,application program interfaces;object-oriented programming;parallel programming;Python;Python programming language;API development;smart systems;parallel programming;continuous system simulation engine;engine architecture;CSMP block-oriented language;Engines;Computational modeling;Mathematical model;Continuous time systems;Python;Unified modeling language;continuous system simulation;python;engine;smart systems;IoT,10.1109/INFOTEH48170.2020.9066334,,March,1.0,5.0,5.0
8,8534636,"G Psathas, P Chalki, S Demetriadis, A Tsiara","This paper presents data about learners' preferences, background and learning behavior in “Introduction to programming with Python” MOOC, offered in Autumn 2017. After the 6-week duration of the course, data collected through questionnaire and the MOOC's platform log files. The results showed that learners taking part in such MOOCs hold at least a Bachelor's or a Master's degree, and their age is between 26 and 45. The course's certificate acts as a motivational factor for learners to finish the course, and also as participation in activities forecast. It has also been observed that the most prominent reason for learners to participate in the MOOC was their current or future working career development.",2018 Learning With MOOCS (LWMOOCS),Profiles and Motivations of Participants in Greek MOOC for Python Programming,2018,certification;computer aided instruction;computer science education;continuing professional development;educational courses;human resource management;Python;Python programming;motivational factor;greek MOOC;Masters degree;working career development;learners preferences;Python;Programming profession;Informatics;Certification;Massive Open Online Courses;MOOCs;Python;Programming,10.1109/LWMOOCS.2018.8534636,,Sep.,70.0,73.0,4.0
9,9016774,"P Dinesh Divsekar, R Porob, P Kuwelkar","Testing is of utmost importance in industrial domain. Product testing makes sure that, software performs the dedicated task error free. Product testing is the key prerequisite before releasing the product. In order to satisfy the customer's requirements, it is essential to experiment the device against different test conditions. The key idea behind performing regression testing is to check for any recent script changes have not adversely affected the existing functionalities of the device. Data analytics using python is performed to draw necessary conclusions based on the type of test conducted. The aim of this paper is to perform automated regression testing and reusing the existing scripts with new modifications. Data analytics is being carried out on error data to visualize accuracy, deviations and other parameters.","2019 4th International Conference on Recent Trends on Electronics, Information, Communication Technology (RTEICT)",Automated Regression Testing and Data Analytics using Python,2019,data analysis;program testing;Python;regression analysis;error data;automated regression testing;dedicated task error;product testing;industrial domain;python;data analytics;Testing;Performance evaluation;Data analysis;Data visualization;Python;Temperature distribution;Hardware;Regression testing;Python scripts;DUT;Data Analytics;Excel Results,10.1109/RTEICT46194.2019.9016774,,May,95.0,99.0,5.0
