,0
Shams Imam,1.0
 Antonio Leitao,1.0
Pedro Ramos,1.0
Tom De Smedt,2.0
 Walter Daelemans,2.0
Douglas Blank,2.0
 Deepak Kumar,2.0
 Lisa Meeden,2.0
Breawn Schoun,1.0
 MinHyung Choi,1.0
 Shane Transue,1.0
Richard Enbody,3.0
 William Punch,3.0
Gergo Barany,1.0
Fabio Niephaus,2.0
Atanas Radenski,4.0
Ross Smith,1.0
S Sehrish,1.0
 C Green,1.0
 M Paterno,1.0
 J Kowalkowski,1.0
Philip Guo,1.0
 Xiangyu Zhang,2.0
 Baowen Xu,2.0
Zhaogui Xu,2.0
 Peng Liu,1.0
 Casey Casalnuovo,1.0
 Prem Devanbu,1.0
Hongyu Zhai,1.0
Bertrand Nouvel,1.0
 ShinIchi Satoh,1.0
Robin Snyder,1.0
Michael Goldwasser,2.0
 David Letscher,2.0
 Cristian RamonCortes,1.0
Ramon Amela,1.0
 Rosa Badia,1.0
 Javier Conejero,1.0
 Jorge Ejarque,1.0
Olivier Belanger,1.0
Yu Li,1.0
 Margus Niitsoo,1.0
 Marina Lepp,1.0
Vambola Leping,1.0
 Varmo Vene,1.0
 Anne Villems,1.0
 Eno Tonisson,1.0
 Jonathan Stendahl,1.0
Beatrice rAkerblom,3.0
 Tobias Wrigstad,3.0
 Mattias Tumlin,1.0
 Aileen Owens,1.0
Amal Nanavati,1.0
 Mark Stehlik,1.0
 David Camp,1.0
 E Bethel,1.0
Burlen Loring,1.0
 Andrew Myers,1.0
 Mark McCullen,2.0
Davide Spadini,1.0
 Alberto Bacchelli,1.0
 Mauricio Aniche,1.0
Olle Balter,1.0
 Duane Bailey,1.0
 Jeremy Siek,2.0
Michael Vitousek,2.0
 Jim Baker,2.0
 Andrew Kent,2.0
 Edouard Fouche,1.0
 Gregor Mohler,1.0
 Rafael Morales,1.0
Avipsa Roy,1.0
 Jens Krinke,1.0
Nikolaos Bafatakis,1.0
 Robert White,1.0
 Martin Salazar,1.0
 Niels Boecker,1.0
 Gazi Oznacar,1.0
 Wenjie Boon,1.0
 Tim Felgentreff,1.0
 Tobias Pape,1.0
 Robert Hirschfeld,1.0
 Kexin Pei,1.0
 Lin Chen,1.0
 Daniel Patterson,2.0
 Shriram Krishnamurthi,2.0
 Anand Chitipothu,2.0
 Sumner Warren,2.0
 Alejandro Martinez,2.0
 Matthew Milano,2.0
 Junsong Li,2.0
Joe Politz,2.0
 Amber Settle,1.0
Craig Miller,1.0
 John Lalor,1.0
Hyun Park,1.0
 Kyung Kim,1.0
Yuanzhe Li,1.0
 Loren Schwiebert,1.0
Ariel Ortiz,1.0
 Henrik Barthels,1.0
Manuel Krebber,1.0
 Paolo Bientinesi,1.0
David Liu,1.0
 Andrew Petersen,1.0
Yosi Ben Asher,1.0
 Nadav Rotem,1.0
Javier Varela,1.0
 Sascha Desmettre,1.0
 Norbert Wehn,1.0
 Ralf Korn,1.0
 Sridhar Chimalakonda,1.0
A Rao,1.0
 Orsalia Hazapis,1.0
Evangelos Logaras,1.0
 Elias Manolakos,1.0
Aivar Annamaa,1.0
 Monika Zaman,1.0
 Tasnova Nusrat,1.0
Aaquib Javed,1.0
 M Uddin,1.0
 Md Islam,1.0
 Yijia Huang,1.0
 Hridesh Rajan,1.0
Sumon Biswas,1.0
 Antoine Mine,1.0
Raphael Monat,1.0
 Abdelraouf Ouadjaout,1.0
